31038 MANTENA,4359
31039 IPATINGA,16894
31040 CARATINGA,12570
31041 AIMORES,5840
31042 PIUI,8398
31043 DIVINOPOLIS,42659
31044 FORMIGA,18078
31045 CAMPO BELO,14058
31046 OLIVEIRA,14827
31047 PASSOS,27787
31048 SAO SEBASTIAO DO PARAISO,20869
31049 ALFENAS,23538
31050 VARGINHA,61246
31051 POCOS DE CALDAS,14192
31052 POUSO ALEGRE,12643
31053 SANTA RITA DO SAPUCAI,11278
31054 SAO LOURENCO,17607
31055 ANDRELANDIA,7322
31056 ITAJUBA,9736
31057 LAVRAS,11595
31058 SAO JOAO DEL REI,25968
31059 BARBACENA,17339
31060 PONTE NOVA,11649
31061 MANHUACU,15373
31062 VICOSA,11256
31063 MURIAE,11793
31064 UBA,13595
31065 JUIZ DE FORA,27394
31066 CATAGUASES,7793
50001 BAIXO PANTANAL,361
50002 AQUIDAUANA,159
50003 ALTO TAQUARI,916
50004 CAMPO GRANDE,1007
50005 CASSILANDIA,2849
50006 PARANAIBA,241
50007 TRES LAGOAS,366
50008 NOVA ANDRADINA,198
50009 BODOQUENA,227
50010 DOURADOS,6491
50011 IGUATEMI,6676
51001 ARIPUANA,535
51002 ALTA FLORESTA,1070
51003 COLIDER,1842
51004 PARECIS,1212
51005 ARINOS,312
51006 ALTO TELES PIRES,4427
51007 SINOP,1734
51008 PARANATINGA,1013
51009 NORTE ARAGUAIA,868
51010 CANARANA,869
51011 MEDIO ARAGUAIA,1153
51012 ALTO GUAPORE,1506
51013 TANGARA DA SERRA,5967
51014 JAURU,1266
51015 ALTO PARAGUAI,441
51016 ROSARIO OESTE,54
51017 CUIABA,2971
51018 ALTO PANTANAL,3684
51019 PRIMAVERA DO LESTE,3821
51020 TESOURO,506
51021 RONDONOPOLIS,1187
51022 ALTO ARAGUAIA,742
15001 OBIDOS,281
15002 SANTAREM,2681
15003 ALMEIRIM,218
15004 PORTEL,86
15005 FUROS DE BREVES,669
15006 ARARI,61
15007 BELEM,3272
15008 CASTANHAL,854
15009 SALGADO,791
15010 BRAGANTINA,808
15011 CAMETA,960
15012 TOME-ACU,258
15013 GUAMA,802
15014 ITAITUBA,895
15015 ALTAMIRA,1805
15016 TUCURUI,212
15017 PARAGOMINAS,350
15018 SAO FELIX DO XINGU,174
15019 PARAUAPEBAS,726
15020 MARABA,344
15021 REDENCAO,436
15022 CONCEICAO DO ARAGUAIA,472
25001 CATOLE DO ROCHA,156
25002 CAJAZEIRAS,607
25003 SOUSA,461
25004 PATOS,129
25005 PIANCO,248
25006 ITAPORANGA,101
25007 SERRA DO TEIXEIRA,383
25008 SERIDO OCIDENTAL PARAIBANO,75
25009 SERIDO ORIENTAL PARAIBANO,195
25010 CARIRI OCIDENTAL,279
25011 CARIRI ORIENTAL,155
25012 CURIMATAU OCIDENTAL,221
25013 CURIMATAU ORIENTAL,276
